track_name,emotion,album,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Ooh La La (From ""Shubh Mangal Zyada Saavdhan"")",Angry,"Ooh La La (From ""Shubh Mangal Zyada Saavdhan"")",4XeiaqgffFCVCnRykaTuPg,0.796,0.918,1,-2.606,1,0.125,6.10E-06,0.191,0.862,130.013,199615,4
"Lift Teri Bandh Hai (From ""Judwaa 2"")",Angry,"Oonchi Hai Building 2.0 (From ""Judwaa 2"")",3ElJ4RSdrweHUb1jsPEOF8,0.829,0.76,1,-5.552,1,0.106,1.04E-05,0.336,0.773,107.01,204550,4
O Saki Saki,Angry,Batla House,1K8zYNuDywMknSJuNGoWy0,0.737,0.961,10,-0.155,0,0.0747,0,0.361,0.568,108.014,191089,4
"Bezubaan Kab Se (From ""Street Dancer 3D"")",Angry,"Bezubaan Kab Se (From ""Street Dancer 3D"")",1WzOH0E1W1z5jcLluumQGE,0.747,0.865,7,-5.991,1,0.0451,0.00058,0.0764,0.209,124.985,271279,4
Lagan Lagi,Angry,Tere Naam,2wCYsTuY8Wsw0iBlw06mbg,0.667,0.727,1,-8.585,1,0.0502,6.52E-05,0.253,0.756,98.975,275520,4
Main Hoon Don,Angry,Don,3FrzIfTz8mMS8Xowzu3ZUj,0.651,0.687,9,-8.674,1,0.0445,1.86E-05,0.0809,0.186,120.015,330133,4
Aaj Ki Raat,Angry,Don,4bPF3oy4JsKK1UeMMn7Byf,0.738,0.823,1,-6.966,0,0.0658,0.00627,0.0871,0.923,137,368480,4
Don Revisited,Angry,Don,0ZtqCBPeXRoMxjKdjUSBno,0.438,0.863,2,-9.358,1,0.0331,0.806,0.103,0.508,131.805,286000,4
Jhalak Dikhla Ja,Angry,Aksar,43SKg10CCeaoyr7XSKfpTR,0.688,0.737,2,-10.051,1,0.0443,0.00025,0.0599,0.635,110.969,317560,4
Dil Dooba,Angry,Khakee,6cUaCs1lKfDOyFKMkBF8ch,0.814,0.909,0,-6.875,1,0.0753,0,0.345,0.961,100.004,230947,4
Aankhen Bandh Karke,Angry,Aitraaz (Original Motion Picture Soundtrack),51wGpH0BKfx5KbGX8tvj4v,0.663,0.765,10,-7.027,0,0.0414,6.63E-06,0.205,0.499,89.981,341133,4
Tum Mile,Angry,Tum Mile (Original Motion Picture Soundtrack),1EjxJHY9A6LMOlvyZdwDly,0.738,0.798,0,-6.663,1,0.0334,5.15E-06,0.31,0.793,123.01,343787,4
Tune Jo Na Kaha,Angry,New York,0pw3p4gf5homOkvOGOJulF,0.314,0.475,5,-12.38,1,0.0838,0.00539,0.34,0.312,78.992,310073,4
Kabhi Kabhi Aditi,Angry,Jaane Tu... Ya Jaane Na,3APdIdF8H0jsxSuGOqXedS,0.791,0.558,7,-7.155,0,0.0661,0,0.0859,0.872,95.077,218836,4
Zara Sa,Angry,Jannat (Original Motion Picture Soundtrack),18YHbIhrleUkKKj2DvEp79,0.468,0.91,11,-3.057,0,0.051,0.000304,0.271,0.694,163.842,303680,4
"Thug Le (From ""Ladies V/s Ricky Bahl"")",Angry,My Ultimate Bollywood Party 2012,3qlL6HWvkQ0EDzRHC6Rre5,0.753,0.77,1,-6.282,1,0.0634,1.75E-05,0.123,0.945,113.016,216147,4
"Pani Da Rang Male (From ""Vicky Donor"")",Angry,Vicky Donor,6eTPyEkYUmDUFvNxJdNuOD,0.679,0.622,4,-8.514,0,0.0328,6.52E-05,0.106,0.483,98.028,240787,4
"Jugni (from ""Cocktail"")",Angry,Cocktail,37pIbmzFbXQ4iQe38ehn2c,0.614,0.759,1,-6.763,1,0.107,0,0.3,0.361,166.096,417386,4
Tum Hi Ho,Angry,Aashiqui 2,56zZ48jdyY2oDXHVnwg5Di,0.528,0.449,5,-6.25,0,0.025,0,0.122,0.317,94.058,261974,4
Jogi Mahi,Angry,Bachna Ae Haseeno,6TuPGbfbcWxITQnyMy04rU,0.702,0.843,5,-5.868,0,0.0846,0.000382,0.282,0.872,98.028,294949,4
Tum Ho,Angry,Rockstar,7uNnlVit5qDvfOje0pqICF,0.356,0.47,5,-8.929,1,0.0278,1.00E-05,0.0807,0.167,93.895,316500,4
Bulleya,Angry,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0,0.112,0.702,86.957,348966,4
Rab Ka Shukrana,Angry,Jannat 2 (Original Motion Picture Soundtrack),2VJIaxgWeyw9loL1sqKl7c,0.602,0.559,10,-6.203,0,0.0426,0,0.131,0.44,122.017,299573,4
Tujhe Sochta Hoon,Angry,Jannat 2 (Original Motion Picture Soundtrack),47l2Dd3XPBLio3kjbEMyDJ,0.579,0.712,0,-6.119,0,0.0308,0.000253,0.18,0.486,80.998,313933,4
Dil De Diya Hai,Angry,Masti,2zT6KfK583MkcLIHLBO8De,0.599,0.689,0,-5.668,0,0.0452,1.10E-05,0.119,0.537,86.927,366747,4
Senorita,Angry,Zindagi Na Milegi Dobara,3TAhWtQnpoL5Vl9VQPl9fU,0.701,0.681,9,-6.442,1,0.0466,0,0.064,0.81,122.539,229576,4
Mit Jaaye Gham (Dum Maaro Dum),Angry,Dum Maaro Dum,33vhuNbI4A5BcXBYcw9wZx,0.747,0.921,0,-3.851,1,0.0859,0.000164,0.0367,0.671,129.945,232734,4
Khalbali,Angry,Rang De Basanti (Original Motion Picture Soundtrack),6sXzqMagXtWvSOI9nNc4UD,0.789,0.707,7,-7.973,1,0.109,0,0.177,0.605,97.015,379227,4
Kabhi Alvida Naa Kehna,Angry,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4uXShFWajd1PTQzlW3P4jj,0.365,0.407,5,-10.352,1,0.0424,0.00129,0.212,0.464,149.161,483920,4
"Yahi Hota Pyaar (From ""Namastey London"")",Angry,Namastey London,759KVYocSBXI5cbDBLgsNy,0.709,0.688,2,-9.096,1,0.0386,0.000665,0.129,0.607,107.994,383613,4
Kun Faya Kun,Angry,Rockstar,7F8RNvTQlvbeBLeenycvN6,0.362,0.378,1,-11.008,1,0.0329,0,0.091,0.575,87.549,470500,4
Channa Mereya,Angry,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0H2iJVgorRR0ZFgRqGUjUM,0.476,0.788,9,-4.821,0,0.0446,2.49E-05,0.106,0.746,90.066,289333,4
Bezubaan Phir Se,Angry,ABCD 2,6SgKgoIUaD3UskSh2eNcga,0.491,0.616,6,-8.67,0,0.0918,0.00329,0.102,0.338,99.972,272434,4
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Angry,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,11,-7.556,1,0.0366,0,0.11,0.306,70.368,284780,4
"Pachtaoge (From ""Jaani Ve"")",Angry,"Pachtaoge (From ""Jaani Ve"")",5QVHNa0ppJUOoqSd36ovQS,0.515,0.691,5,-4.028,0,0.0344,0,0.121,0.484,169.521,226789,3
Hamari Adhuri Kahani (Title Track),Angry,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),3HiobOOpSpMsi95WBKPBYk,0.223,0.359,0,-7.569,1,0.0312,0,0.133,0.193,73.059,398799,4
Naina,Angry,Dangal (Original Motion Picture Soundtrack),0Yld4eVEV6rBvpijVU2s6l,0.501,0.445,6,-8.432,1,0.0337,0,0.117,0.388,80.086,225750,4
Kalank (Title Track),Angry,Kalank,6vo7Y1iWyZvpjvFbf6BiZ5,0.57,0.55,10,-8.343,1,0.035,3.73E-05,0.0921,0.435,117.999,311186,4
"Khamoshiyan (From ""Khamoshiyan"")",Angry,"Khamoshiyan (From ""Khamoshiyan"")",5Gy67YHzPZTk9Q0D73LAGH,0.524,0.52,2,-6.838,0,0.0272,0,0.158,0.259,143.885,335710,3
Janam Janam,Angry,Dilwale (Original Motion Picture Soundtrack),4km0RUkMMFdx8iDuq36o2w,0.301,0.581,11,-7.324,0,0.0422,0,0.0757,0.235,132.051,237897,3
"Bulleya (From ""Ae Dil Hai Mushkil"") - Reprise",Angry,Yours Truly Arijit,6BF9qGTbwHweKyit2gEtsa,0.533,0.787,2,-4.395,0,0.0416,0,0.112,0.634,87.055,348966,4
Arziyan,Angry,Delhi-6,3V80Iv04B9XAqGHbXdtRT1,0.582,0.559,9,-8.64,1,0.0479,0,0.135,0.656,139.891,519236,3
Lae Dooba,Angry,Aiyaary,4cNbz1UdBCrnGOg0NNP1iF,0.569,0.297,6,-8.639,1,0.0292,0,0.0938,0.466,89.96,229878,4
Moh Moh Ke Dhaage (Female),Angry,Dum Laga Ke Haisha,7uubRr0u9Zxc1Y84hEn7Xf,0.585,0.399,2,-8.133,1,0.0286,3.47E-06,0.123,0.349,128.03,322900,4
Judai,Angry,Jannat (Original Motion Picture Soundtrack),7LGgRybx6vnACSRnYcGmMl,0.677,0.837,8,-4.814,0,0.0646,0.0013,0.115,0.829,111.934,302400,4
Bandheh,Angry,Black Friday,7nz5qUO3ZtyfpMV4SuRWku,0.612,0.425,0,-8.706,0,0.0499,7.85E-06,0.0776,0.17,135.009,468793,4
Dil Kyun Yeh Mera,Angry,Kites,5nHwX7e5XHnie22nuTFgda,0.486,0.382,6,-6.183,1,0.0286,8.56E-05,0.149,0.164,125.918,333200,3
Such Keh Raha Hai,Angry,Rehnaa Hai Terre Dil Mein,0ypgFw67lNEpoKFUxUV0tG,0.797,0.306,11,-14.176,0,0.0487,0,0.169,0.519,124.003,328880,4
Zindagi Do Pal Ki,Angry,Kites,3s6H6UW7yPu2rsF8CGki60,0.678,0.771,6,-2.849,1,0.0266,0.00253,0.149,0.462,105.976,253200,4
Main Yahaan Hoon,disgust,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,0.484,0.788,4,-7.625,0,0.0565,0.0132,0.0939,0.741,171.973,295158,4
Bezubaan Phir Se,fear,ABCD 2,6SgKgoIUaD3UskSh2eNcga,0.491,0.616,6,-8.67,0,0.0918,0.00329,0.102,0.338,99.972,272434,4
"Fikar Not (From ""Chhichhore"")",fear,"Fikar Not (From ""Chhichhore"")",7oRA6vzbUl5brLK7GDcKOJ,0.609,0.849,5,-6.826,0,0.0859,0.0019,0.058,0.869,185.889,189073,3
Baaki Baatein Peene Baad (Shots) (feat. Badshah),fear,Baaki Baatein Peene Baad (Shots) (feat. Badshah),2RBkVQwpkDeYytMTQwjyTk,0.566,0.862,7,-6.02,0,0.105,0,0.103,0.455,147.974,220313,4
Sauda Khara Khara,happy,"Sauda Khara Khara (From ""Good Newwz"")",4LLvxxkWtt818FNO3cbsdo,0.687,0.919,10,-3.28,1,0.0635,4.38E-06,0.105,0.877,145.037,211034,4
Afghan Jalebi (Film Version),happy,Phantom,1rEVydQSe04NJUqyyEyeEq,0.84,0.884,0,-3.217,1,0.334,0,0.0885,0.972,118.007,224207,4
High Heels Te Nachche,happy,Ki &amp; Ka,1bAa1OyefOhXdqnL8dlxFt,0.796,0.85,1,-3.641,1,0.203,0,0.129,0.559,136.03,212116,4
Dilliwaali Girlfriend,happy,Yeh Jawaani Hai Deewani,3W1XPf7mvuQcWQB7U7MbTM,0.687,0.941,6,-5.23,0,0.0583,2.93E-06,0.0697,0.909,138.048,260552,4
Balam Pichkari,happy,Yeh Jawaani Hai Deewani,18e3XXYCv4Tx8uUl1mP3CN,0.732,0.944,0,-4.115,1,0.09,0,0.401,0.957,120.02,288903,4
Bom Diggy Diggy,happy,Sonu Ke Titu Ki Sweety,1OACsTiYokI4NUgnMonSmt,0.782,0.827,11,-4.219,0,0.0627,0,0.226,0.498,104.032,238530,4
Tamma Tamma Again,happy,Badrinath Ki Dulhania,5sqPE9h98DkO5ms20NUiUg,0.724,0.848,2,-4.724,1,0.0522,9.16E-05,0.104,0.781,123.02,199265,4
Gulaabo,happy,Shaandaar,5hRXhmEuQW3SJwX94BBV6u,0.767,0.64,11,-6.626,1,0.152,4.39E-05,0.085,0.751,146.036,264418,4
"O Saki Saki (From ""Batla House"")",happy,"O Saki Saki (From ""Batla House"")",4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0,0.361,0.567,108.014,191089,4
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",happy,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,7,-6.503,0,0.0623,1.85E-05,0.329,0.311,156.396,287374,4
Kar Gayi Chull,happy,The Badshah of Party Hits,3fPgIknlkDWXs1l2noKZbp,0.827,0.737,11,-5.473,0,0.0764,0.000322,0.211,0.873,121.99,187711,4
Abhi Toh Party Shuru Hui Hai,happy,Khoobsurat,0rUN8ascPVT9iiLzC5ocPw,0.806,0.815,3,-5.373,0,0.0599,2.35E-05,0.586,0.678,129.999,179912,4
Nachde Ne Saare,happy,Baar Baar Dekho (Original Motion Picture Soundtrack),4c8erEn1DjLoDp0CRLkNnq,0.82,0.907,7,-4.517,1,0.0607,4.85E-05,0.0816,0.834,126.062,194762,4
"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",happy,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",0OcVZqIer0LLu3K8sdU5Yb,0.808,0.901,1,-1.944,1,0.0907,0.000762,0.262,0.709,93.026,165582,4
"Nachange Saari Raat (feat. Neeraj Shridhar, Tulsi Kumar)",happy,Junooniyat,1iF6lrJludTZmfgMgXPqSe,0.679,0.921,1,-4.416,0,0.0362,1.41E-06,0.0636,0.755,131.084,251514,4
Gallan Goodiyaan,happy,Dil Dhadakne Do,7hNYvX0qAKrxtVr1jGDmvR,0.83,0.858,6,-3.18,0,0.0554,1.72E-05,0.0567,0.949,119.974,296500,4
Khalibali,happy,Padmaavat,3JT0mVof65rIHpRZITwRx1,0.642,0.94,9,-5.274,1,0.102,0,0.0989,0.645,101.252,258894,3
"Malhari (From ""Bajirao Mastani"")",happy,Bajirao Mastani (Original Motion Picture Soundtrack),7EvAlx0lOLbZgCKH50wnUU,0.507,0.932,1,-4.501,0,0.0762,0,0.302,0.311,114.961,244048,3
Oh Ho Ho Ho (Remix),happy,Hindi Medium,3F0I9AkbRwz12yz7Hxn0bF,0.676,0.935,5,-3.499,0,0.0892,0,0.097,0.802,144.944,244417,4
Saturday Saturday,happy,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),5L9gWUx3Ystgb42kn3AF0i,0.847,0.938,8,-4.615,1,0.0974,0,0.107,0.786,130.02,210799,4
"Ghungroo (From ""War"")",happy,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,6,-6.274,0,0.0323,0.000175,0.533,0.864,118.034,302935,4
Abhi Toh Party Shuru Hui Hai,happy,Khoobsurat,0rUN8ascPVT9iiLzC5ocPw,0.806,0.815,3,-5.373,0,0.0599,2.35E-05,0.586,0.678,129.999,179912,4
"Mein Sharabi (From ""Cocktail"")",happy,Cocktail,1EBFDh7NkQqI80564tQaUq,0.774,0.81,7,-8.247,1,0.0968,1.32E-06,0.0386,0.682,130.025,265846,4
"Mann Mera (From ""Table No. 21"")",happy,Table No. 21,6k1f836hWD6F0ZehWTsyeQ,0.54,0.774,1,-7.873,0,0.0444,0,0.142,0.384,191.809,198125,4
Chak De India,happy,Chak De India,6D3vmtskO4RbZP3bBIDY3X,0.755,0.894,4,-8.544,0,0.0993,1.55E-05,0.141,0.799,104.985,283951,4
Sunny Sunny,happy,Yaariyan,6GwjeSBaJ7C8yZXklaXXY1,0.794,0.878,11,-7.502,0,0.078,0.029,0.197,0.352,129.978,243319,4
Dil Chahta Hai,happy,Dil Chahta Hai,2r1CHpKRDdzHGJScn5UqjX,0.813,0.554,10,-9.105,1,0.04,1.23E-06,0.0629,0.782,103.953,310080,4
Chaiyya Chaiyya,happy,Dil Se,7ItsQ8ow0xsBJSW8NdGH5v,0.788,0.675,2,-13.249,1,0.166,0,0.0731,0.558,90.001,414427,4
Taal Se Taal,happy,Taal (Original Motion Picture Soundtrack),0MG4XuSIiwX5rmok4OvHBZ,0.682,0.532,7,-14.114,1,0.0969,0.000432,0.129,0.614,95.007,373005,4
Ramta Jogi,happy,Taal (Original Motion Picture Soundtrack),1vP5twuVXFiInkDvv2815T,0.798,0.636,6,-10.524,1,0.0432,0,0.117,0.798,139.979,373451,4
Rang De Basanti,happy,Rang De Basanti (Original Motion Picture Soundtrack),1SdFBc40uBU5Pqylo05VIC,0.848,0.925,7,-6.161,1,0.0767,0.104,0.209,0.69,105.006,363800,4
Masti Ki Paathshala,happy,Rang De Basanti (Original Motion Picture Soundtrack),2cZ2Q33G9mkS8fIVKM591T,0.845,0.686,7,-6.728,1,0.0781,5.35E-05,0.129,0.874,146.954,219853,4
Jai Ho,happy,Slumdog Millionaire - Music From The Motion Picture,4i3MgUew8ynhf49Qwr4IP4,0.733,0.795,9,-6.748,1,0.0609,0.0001,0.0989,0.299,136.977,319347,4
"Chhoti Si Aasha - Version, 1",happy,Roja (Original Motion Picture Soundtrack),47U38LbRLzE76b6QOPZYtu,0.639,0.245,2,-15.25,1,0.0479,4.69E-06,0.1,0.524,172.05,297347,4
Matargashti,happy,Tamasha (Original Motion Picture Soundtrack),3YAKWgfsdOFYsyQOfZMM7T,0.785,0.632,0,-6.726,1,0.0817,0,0.0742,0.668,100.02,328073,4
Masakali,happy,Delhi 6 (Original Motion Picture Soundtrack),3V5liIJYv58r2IN6XLRvci,0.676,0.599,5,-8.355,0,0.0988,1.17E-06,0.0911,0.53,100.005,290888,4
Saadda Haq (feat. Orianthi Panagaris On Guitars),happy,Rockstar,6ccrpAhoWRSOAsB2oVb3ao,0.561,0.881,6,-4.981,0,0.0491,1.64E-06,0.272,0.609,96.959,364670,4
Tu Hi Re - Bombay / Soundtrack Version,happy,Bombay,6nwRC0UkS1MdOOMjcJsrbX,0.445,0.188,3,-13.885,1,0.0336,0,0.0958,0.357,99.718,435493,4
Ek Ho Gaye Hum Aur Tum - Bombay / Soundtrack Version,happy,Bombay,6oRFw7tkc38QToqfoF7jVR,0.804,0.649,0,-10.564,1,0.106,1.01E-05,0.0319,0.817,95.037,315907,4
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",happy,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),11ZEzmgtjJhoMHTWGd5IRY,0.562,0.735,7,-7.924,0,0.0445,0.000204,0.177,0.537,90.057,231673,4
Chikni Chameli,happy,Agneepath (Original Motion Picture Soundtrack),1vSXwYeKnzsVvekSpqVabx,0.693,0.956,1,-5.012,0,0.071,0,0.294,0.665,90.005,301587,4
Nagada Sang Dhol,happy,Ram-Leela (Original Motion Picture Soundtrack),4ila6GeGBPGmJTGRoHOV5E,0.73,0.944,3,-3.48,0,0.164,0.00443,0.0354,0.657,113.309,273319,3
Uff Teri Adaa,happy,Karthik Calling Karthik,0og9wKFGgFFNQnrBe7eisG,0.647,0.792,2,-9.815,1,0.0373,5.82E-05,0.054,0.306,132.032,304089,4
Dil Chahta Hai,happy,Dil Chahta Hai,2r1CHpKRDdzHGJScn5UqjX,0.813,0.554,10,-9.105,1,0.04,1.23E-06,0.0629,0.782,103.953,310080,4
"Yun Hi Chala Chal (From ""Swades"")",happy,Best Of Kailash Kher,2Q4PfYBPwVBONmzqrtBHFr,0.822,0.687,9,-8.167,1,0.0421,0,0.0609,0.816,106.47,446987,4
Socha Hai,happy,Rock On,7IjnfuMNfdrAXbefurdIIR,0.593,0.773,2,-5.591,1,0.0339,0,0.117,0.561,133.975,246132,4
Nazrein Milaana Nazrein Churaana,happy,Love Dose: Benny Dayal,6vGS2j6ou5AWu7wJYMQwuM,0.751,0.54,9,-7.942,1,0.0753,0.000224,0.102,0.9,110.015,234858,4
Khuda Jaane,happy,Bachna Ae Haseeno,0gPgdRfB4jdGrlyXS0Vx78,0.382,0.632,8,-6.393,1,0.0411,0.000486,0.0922,0.716,78.936,333584,4
Badtameez Dil,happy,Yeh Jawaani Hai Deewani,4eu27jAU2bbnyHUC3G75U8,0.806,0.932,2,-2.228,0,0.0684,0,0.216,0.792,106.021,252760,4
Dilliwaali Girlfriend,happy,Yeh Jawaani Hai Deewani,3W1XPf7mvuQcWQB7U7MbTM,0.687,0.941,6,-5.23,0,0.0583,2.93E-06,0.0697,0.909,138.048,260552,4
Sooraj Ki Baahon Mein,happy,Zindagi Na Milegi Dobara,723xQva0yBF7M6K3nDAG8R,0.855,0.553,11,-6.52,1,0.0331,5.19E-06,0.0942,0.874,124.922,202919,4
Char Baj Gaye - Party Abhi Baaki Hai,happy,F.A.L.T.U (Original Motion Picture Soundtrack),1eFH9kh7L63Zb8FDqjbwZJ,0.95,0.694,10,-7.089,0,0.0516,1.93E-06,0.137,0.961,119.972,213880,4
"Tum Hi Ho Bandhu (From ""Cocktail"")",happy,Cocktail,2zZTXtLqCsICzEcztKjn47,0.714,0.892,11,-5.342,0,0.0516,0.000817,0.0462,0.899,134.997,282012,4
Kar Gayi Chull,happy,The Badshah of Party Hits,3fPgIknlkDWXs1l2noKZbp,0.827,0.737,11,-5.473,0,0.0764,0.000322,0.211,0.873,121.99,187711,4
Abhi Toh Party Shuru Hui Hai,happy,Khoobsurat,0rUN8ascPVT9iiLzC5ocPw,0.806,0.815,3,-5.373,0,0.0599,2.35E-05,0.586,0.678,129.999,179912,4
Pappu Can't Dance,happy,Jaane Tu... Ya Jaane Na,7MkhC2h8lDwyEfaKxf48cJ,0.668,0.746,1,-7.592,1,0.0603,0.00031,0.0773,0.485,119.696,264986,4
Slowly Slowly,happy,Go Goa Gone (Original Motion Picture Soundtrack),2Z5IsY5dxdYZArJ1aYbaHZ,0.578,0.729,1,-9.814,1,0.0374,0.251,0.124,0.729,159.984,197960,4
"Ghungroo (From ""War"")",happy,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,6,-6.274,0,0.0323,0.000175,0.533,0.864,118.034,302935,4
Dil Hi Toh Hai,happy,"Dil Hi Toh Hai (From ""The Sky Is Pink"")",0hpP2fBridGH2Bq6qmg9LM,0.482,0.694,0,-5.368,1,0.042,0,0.11,0.573,90.196,280496,4
Nashe Si Chadh Gayi,happy,Befikre,0biCSADTAblvLTLtJz4pXO,0.799,0.784,4,-5.207,0,0.0519,2.84E-06,0.227,0.26,96.953,237876,4
